"gsis_id","deep_rate","behind_los_rate","middle_rate","intermediate_middle_rate","deep_epa","short_epa","aDOT","pressure_epa_delta","pressure_scramble_rate","play_action_rate","archetype_cluster","archetype_label_status","vector_version"
"00-0037012",0.142857142857143,0.168367346938776,0.188775510204082,0.0663265306122449,-0.087529433339544,-0.13933569095347,8.52551020408164,-0.573203461598464,0,0.197080291970803,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0037013",0.113,0.185,0.203,0.055,0.0009379180886027,-0.0267765598117387,7.807,-0.640398916538132,0,0.187772925764192,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0037077",0.122480620155039,0.198449612403101,0.223255813953488,0.0511627906976744,0.0184608774008467,-0.0809089989837393,7.48992248062016,-0.822872327149516,0,0.174337517433752,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0037175",0.106382978723404,0.0851063829787234,0.382978723404255,0.0638297872340425,-0.217170895915924,-0.197414927124563,8.53191489361702,,,,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0037324",0.111111111111111,0.37037037037037,0.111111111111111,0,-0.243903310371015,-0.215651549403956,5.12962962962963,,,,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0037327",0.0942028985507246,0.159420289855072,0.173913043478261,0.0869565217391304,-0.155183981222013,-0.170330157658243,7.34057971014493,-0.375974678306385,0,0.2,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0037834",0.108550185873606,0.138289962825279,0.261710037174721,0.0936802973977695,0.55215418331362,0.224710357717906,8.04237918215613,-0.670598683018254,0,0.215287517531557,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0038102",0.104140526976161,0.159347553324969,0.170639899623588,0.0439146800501882,0.144796337899389,0.0220526269195115,7.34504391468005,-0.324761131672302,0,0.152502910360885,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0038108",0.122754491017964,0.20059880239521,0.158682634730539,0.0449101796407186,0.00790760213789166,-0.214349469087124,7.56886227544911,-0.552606077171989,0,0.191256830601093,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0038122",0.11965811965812,0.169230769230769,0.223931623931624,0.0666666666666667,0.0886705954346956,0.0409062375790999,8.21367521367522,-0.384488931852538,0,0.278740157480315,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0038128",0.135483870967742,0.187096774193548,0.154838709677419,0.0387096774193548,0.403043043460517,0.198978712353486,8.52258064516129,-0.707900351568679,0,0.288888888888889,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0038400",0.0681818181818182,0.0909090909090909,0.193181818181818,0.0681818181818182,0.208364433068277,0.212173272880358,8.32954545454546,,,,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0038416",0.0671140939597315,0.288590604026846,0.161073825503356,0.0738255033557047,-0.10100895651058,0.0158061625137296,5.67114093959731,-0.843181512294421,0,0.201298701298701,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0038476",0.0765765765765766,0.193693693693694,0.13963963963964,0.0405405405405405,0.0648800962333479,0.0474388921130305,6.36036036036036,-1.05411027825986,0,0.162264150943396,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0038579",0.113861386138614,0.166666666666667,0.194719471947195,0.037953795379538,0.09759586813528,0.0789144682565986,7.69966996699671,-0.688475302803104,0,0.218408736349454,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0038582",0,0.263157894736842,0.105263157894737,0,-0.839956109951201,-0.833224601799939,3.02631578947368,,,,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0038583",0.0614035087719298,0.179824561403509,0.184210526315789,0.0526315789473684,-0.477823606964935,-0.301290598562557,6.01754385964912,-0.565573136812128,0,0.198347107438017,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
