"gsis_id","bucket","plays","completion_pct","epa_per_play","success_rate","air_yards","yac","explosive_rate","sack_rate","scramble_rate","turnover_rate","td_rate","time_to_throw","n_opp","formation_share","evidence_class","availability","source","family","window"
"00-0031589","I_FORM",38,0.421052631578947,-0.351055377215073,0.289473684210526,10.25,4.3125,0.0526315789473684,0.0526315789473685,0,0.0263157894736842,0,3.40672222222222,9,0.103542234332425,"WEAK","PRIOR_ONLY","participation","qb_formation","career"
"00-0031589","PISTOL",12,0.666666666666667,-0.0592026575468481,0.416666666666667,8.41666666666667,2.75,0.166666666666667,0,0,0,0,3.65733333333333,5,0.0326975476839237,"INSUFFICIENT","PRIOR_ONLY","participation","qb_formation","career"
"00-0031589","SHOTGUN",203,0.507389162561576,-0.369413760404452,0.344827586206897,8.07692307692308,5.83495145631068,0.0935960591133005,0.103448275862069,0,0.0394088669950739,0.0295566502463054,3.01733516483516,12,0.553133514986376,"STRONG","PRIOR_ONLY","participation","qb_formation","career"
"00-0031589","SINGLEBACK",41,0.585365853658537,0.0732332041995351,0.414634146341463,5.78947368421053,6.875,0.0731707317073171,0.0731707317073171,0,0.024390243902439,0.024390243902439,2.95144736842105,9,0.111716621253406,"MODERATE","PRIOR_ONLY","participation","qb_formation","career"
"00-0031800","EMPTY",169,0.538461538461539,-0.40293848630423,0.384615384615385,8.07096774193548,4.3956043956044,0.0710059171597633,0.0828402366863906,0,0.0532544378698225,0.0236686390532544,2.76237419354839,19,0.164237123420797,"STRONG","PRIOR_ONLY","participation","qb_formation","career"
"00-0031800","I_FORM",18,0.666666666666667,-0.11460404359645,0.388888888888889,3.88235294117647,4.75,0.0555555555555556,0.0555555555555555,0,0,0.0555555555555555,3.15676470588235,11,0.0174927113702624,"WEAK","PRIOR_ONLY","participation","qb_formation","career"
"00-0031800","JUMBO",3,1,0.0419295144771847,0.333333333333333,-1.66666666666667,3.66666666666667,0,0,0,0,0.333333333333333,3.64766666666667,3,0.00291545189504373,"INSUFFICIENT","PRIOR_ONLY","participation","qb_formation","career"
"00-0031800","PISTOL",27,0.62962962962963,-0.165648642770085,0.444444444444444,2.42307692307692,4.52941176470588,0.0740740740740741,0.037037037037037,0,0,0.037037037037037,2.77607692307692,9,0.0262390670553936,"WEAK","PRIOR_ONLY","participation","qb_formation","career"
"00-0031800","SHOTGUN",701,0.579172610556348,0.00746902153201537,0.436519258202568,8.56441717791411,5.58866995073892,0.135520684736091,0.0699001426533521,0,0.0256776034236805,0.0413694721825963,2.88984969325153,26,0.681243926141885,"STRONG","PRIOR_ONLY","participation","qb_formation","career"
"00-0031800","SINGLEBACK",101,0.683168316831683,0.171063929916055,0.495049504950495,8.46875,5.47826086956522,0.198019801980198,0.0495049504950495,0,0.0099009900990099,0.0297029702970297,3.43963541666667,18,0.098153547133139,"MODERATE","PRIOR_ONLY","participation","qb_formation","career"
"00-0031800","UNDER CENTER",10,0.5,-0.198746235437368,0.4,7.5,6.4,0.3,0,0,0,0,3.3,4,0.00971817298347911,"INSUFFICIENT","PRIOR_ONLY","participation","qb_formation","career"
"00-0032156","EMPTY",107,0.560747663551402,0.0861976002240312,0.439252336448598,7.32,4.58333333333333,0.121495327102804,0.0654205607476636,0,0.0186915887850467,0.0560747663551402,2.56781,17,0.0836591086786552,"MODERATE","PRIOR_ONLY","participation","qb_formation","career"
"00-0032156","I_FORM",84,0.619047619047619,0.205289683522313,0.488095238095238,8.42682926829268,5.44230769230769,0.214285714285714,0.0238095238095238,0,0.0238095238095238,0.0476190476190476,2.86018292682927,16,0.0656763096168882,"MODERATE","PRIOR_ONLY","participation","qb_formation","career"
"00-0032156","JUMBO",1,1,1.06726706767222,1,2,0,0,0,0,0,1,2.707,1,0.000781860828772478,"INSUFFICIENT","PRIOR_ONLY","participation","qb_formation","career"
"00-0032156","PISTOL",3,0.666666666666667,-0.616866113365783,0,-7,5.5,0,0,0,0,0,2.454,3,0.00234558248631744,"INSUFFICIENT","PRIOR_ONLY","participation","qb_formation","career"
